ID,Portfolio,Programme,x2005_06,x2006_07,x2007_08,x2008_09,x2009_10,x2010_11,x2011_12,x2012_13,x2013_14,x2014_15,EstimatedActual2015_16,BudgetEstimate2016_17,Status,AllocationMethod,Socio_EconomicObjective,Sector,Appropriation,About,Notes,Group1,Group2,BudgetEstimate2015_16_m,SRIBT_ID
73,"Education and Training","Building the National Security College",0,0,0,0,0,0.131,0.166,0,0,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,Commonwealth Strategic Relationship with ANU,".",0,1516080
74,"Education and Training","Centre on China in the World",0,0,0,0,0,35,0,0,0,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,Commonwealth Strategic Relationship with ANU,".",0,1516081
75,"Education and Training","Commonwealth-ANU Strategic Relationship",0,0,0,0,0,3.3,2.7,1.6,2.7,0.5,0.5,0.5,Active,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,"The ANU National Security College has successfully established itself as a centre that builds enhanced strategic understanding and critical thinking about Australia’s national security including through training courses for Australian Government agencies, professional development, graduated education and research training.",NaN,Commonwealth Strategic Relationship with ANU,".",0.5,1516082
76,"Education and Training","Sir Roland Wilson Foundation",0,0,0,0,0,7,0,0,0,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,Commonwealth Strategic Relationship with ANU,".",0,1516083
77,"Education and Training","Academic Centres of Cyber Security Excellence",0,0,0,0,0,0,0,0,0,0,0,0.463,Active,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Annual,"Establishment of academic centres of cyber security excellence will address the nation’s critical shortage of skilled cyber security professionals.",NaN,.,".",0,1617008
78,"Education and Training","Australian National University Research Infrastructure Projects",125,0,0,0,0,0,0,0,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516088
79,"Education and Training","Collaborative Research Networks Program",0,0,0,0,0,9.7,20.7,20.7,10.4,10.3,9.332,0,. . . . .,Competitive,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Annual,"Key CRN objectives have been achieved, in particular, collaborative partnerships have been established between universities to build research capacity, many of which are expected to be sustained beyond the life of the programme.",NaN,.,".",9.332,1516091
80,"Education and Training","Centre for Climate Change and Energy Research",0,0,0,0,40,0,0,0,0,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516062
81,"Education and Training","Groundwater Infrastructure Research Operational Support",0,0,0,0,0,0,0,0.163,0.326,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516063
82,"Education and Training","Institute for Marine and Antarctic Studies",0,0,0,0,45,0,0,0,0,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516064
83,"Education and Training","Integrated Marine Observing System",0,0,0,0,0,0,0,2.402,4.803,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516065
84,"Education and Training","National Sea Simulator",0,0,0,0,0,0,0,0.497,0.995,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516066
85,"Education and Training","Structure and Evolution of the Australian Continent",0,0,0,0,0,0,0,1.338,2.675,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516067
86,"Education and Training","Atlas of Living Australia",0,0,0,0,0,0,0,0.932,1.863,0,0,0,. . . . .,Targeted,"02. Environment",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516068
87,"Education and Training","Building the Sydney Institute of Marine Science",0,0,0,0,10.51,5.99,3,0,0,0,0,0,. . . . .,Targeted,"02. Environment",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516069
88,"Education and Training","Terrestrial Ecosystems Research Network",0,0,0,0,0,0,0,1.022,2.043,0,0,0,. . . . .,Targeted,"02. Environment",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516070
89,"Education and Training","Newcastle Institute for Energy and Resources",0,0,0,0,0,13.759,12.098,4.143,0,0,0,0,. . . . .,Targeted,"05. Energy",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Sustainability Round,".",0,1516071
90,"Education and Training","Retrofitting for Resilient and Sustainable Buildings",0,0,0,0,0,10.1,15,0,0,0,0,0,. . . . .,Targeted,"05. Energy",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Sustainability Round,".",0,1516072
91,"Education and Training","Australian Institute for Innovative Materials",0,0,0,0,27.8,16,0,0,0,0,0,0,. . . . .,Targeted,"06. Industrial production and technology",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516073
92,"Education and Training","Centre for Neural Engineering",0,0,0,0,3.9,10.215,3.4,0,0,0,0,0,. . . . .,Targeted,"07. Health",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516075
93,"Education and Training","Population Health Research Network",0,0,0,0,0,0,0,1.028,2.057,0,0,0,. . . . .,Targeted,"07. Health",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516076
94,"Education and Training","Astronomy National Research Infrastructure",0,0,0,0,0,0,0,1.158,2.316,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516084
95,"Education and Training","Australian Microscopy and Microanalysis Research Facility",0,0,0,0,0,0,0,1.692,3.384,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516085
96,"Education and Training","Australian National Data Service",0,0,0,0,0,0,0,1,2,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516086
97,"Education and Training","Australian National Fabrication Facility",0,0,0,0,0,0,0,2.437,4.873,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516087
98,"Education and Training","Australian Phenomics Network",0,0,0,0,0,0,0,1.567,3.133,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516089
99,"Education and Training","Australian Plant Phenomics Facility",0,0,0,0,0,0,0,1.093,2.187,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516090
100,"Education and Training","Emerging Biomolecular Platforms and Informatics",0,0,0,0,0,0,0,1.483,2.967,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516092
101,"Education and Training","Heavy Ion Accelerators",0,0,0,0,0,0,0,0.76,1.52,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516093
102,"Education and Training","Higher Education Research Promotion",4.063,3.306,5.579,4.642,4.722,4.343,4.477,5.652,5.191,4.728,4.733,4.804,Active,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,"Promoting the central role of research, science and technology, including through funding provided to Australia's learned academies and other organisations.",NaN,.,".",4.734,1516094
103,"Education and Training","Institute of Photonics",0,0,0,0.164,18.635,9.759,0.1,0.1,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 1,".",0,1516095
104,"Education and Training","La Trobe Institute for Molecular Sciences",0,0,0,0,14.4,34.2,15.5,0,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516096
105,"Education and Training","Learned Academies Supplementation funding",0,0,0,1,1,1,1,1,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,.,".",0,1516097
106,"Education and Training","National Centre for Synchrotron Science",0,0,0,0,18.018,15.762,3,0,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516098
107,"Education and Training","National Imaging Facility",0,0,0,0,0,0,0,1.429,2.858,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Funding for research and research training provided under HESA (2003),"Collaborative Research Infrastructure Scheme (CRIS)",0,1516099
108,"Education and Training","New Horizons - Monash University Project",0,0,0,0.4,8,11.5,58,11.8,0.2,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Higher Ed. (Other R&D),Special,".",NaN,Education Investment Fund - Round 1,".",0,1516100
109,"Education and Training","Clean Energy Initiative (Education Investment Fund)",0,0,0,0,0,0,0,16.749,39.078,38.3,0,0,. . . . .,Competitive,"05. Energy",Multi-sector (Energy & Env.),Special,".",NaN,.,".",0,1516101
110,"Education and Training","National Collaborative Research Infrastructure Strategy",13.146,78.196,120.597,102.8,104.11,107.09,0,0,80.1,100.1,150,150,Active,Targeted,"00. Multiple categories",Multi-sector (Other R&D),Annual,"Supporting the costs of operating and maintaining capabilities funded through grants under the National Collaborative Research Infrastructure Strategy (NCRIS)",NaN,.,"National Innovation and Science Agenda",150,1516102
111,"Education and Training","Major National Research Facilities",42.21,0,0,0,0,0,0,0,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516113
112,"Education and Training","AuScope Australian Geophysical Observing System",0,0,0,0,0,7.291,6.829,5.292,3.588,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516103
113,"Education and Training","Indian Ocean Marine Research Centre",0,0,0,0,0,1.5,8.5,11,13,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516104
114,"Education and Training","Super Science - Marine and Climate",0,0,0,8,71,116,64.37,97.63,0,0,0,0,. . . . .,Targeted,"01. Exploration and exploitation of the Earth",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Super Science. This includes funding for tropical marine research facilities which are the responsibility of the Australian Institute of Marine Science.,".",0,1516105
115,"Education and Training","Giant Magellan Telescope",0,0,0,0,24.6,19.4,15.1,14.9,7.45,21.85,0,0,. . . . .,Targeted,"03. Exploration and exploitation of space",Multi-sector (Other R&D),Special,".",NaN,.,".",0,1516106
116,"Education and Training","Super Science - Space Science and Astronomy",0,0,0,0,20,20,7.5,42.5,0,0,0,0,. . . . .,Targeted,"03. Exploration and exploitation of space",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Super Science,".",0,1516107
117,"Education and Training","Sustainable Energy for SKA",0,0,0,0,0,0,24.168,11.632,11.5,0,0,0,. . . . .,Targeted,"05. Energy",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Sustainability Round,".",0,1516108
118,"Education and Training","Australian Future Fibres Research and Innovation Centres",0,0,0,0,0,3.5,15,18.5,0,0,0,0,. . . . .,Targeted,"06. Industrial production and technology",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516109
119,"Education and Training","Green Chemical Futures",0,0,0,0,0,0.856,4.335,15.61,8.319,0,0,0,. . . . .,Targeted,"06. Industrial production and technology",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516110
120,"Education and Training","Super Science - Future Industries",0,0,0,20,109,109,112.5,100.5,3,0,0,0,. . . . .,Targeted,"06. Industrial production and technology",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Super Science. This includes funding for nuclear science facilities which are the responsibility of the Australian Nuclear Science Technology Organisation.,".",0,1516111
121,"Education and Training","Smart State Medical Research Centre",0,0,0,0,0,55,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 2,".",0,1516112
122,"Education and Training","National Imaging Facility ",0,0,0,0,0,34.6,5.631,0,0,0,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516114
123,"Education and Training","The Australian Institute for Nanoscience",0,0,0,0,0,7.1,26.1,0,0,6.8,0,0,. . . . .,Targeted,"13. General advancement of knowledge: R&D financed from other sources than GUF",Multi-sector (Other R&D),Special,".",NaN,Education Investment Fund - Round 3,".",0,1516115
124,"Employment","Domestic Violence Research",0,0,0,0,0,0,0,0,0,0,0.084,0.1,Active,Targeted,"11. Political and social systems, structures and processes",Business (Innovation and Other R&D),Annual,"This project aims to describe and quantify (where possible) the range and extent of domestic violence support options that are provided to employers. It also aims to identify the barriers employers face in providing support to employees experiencing domestic violence.",NaN,.,".",0,1617009
125,"Employment","ARC Linkage Grant: A study of flexibilities that enable workforce participation and skill development and use  and their implications for work-life outcomes in Australia ",0,0,0,0,0,0,0.0935,0.0935,0.0935,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516116
126,"Employment","ARC Linkage Grant: ANU Working longer, staying healthy and keeping productive",0,0,0,0,0,0,0,0,0,0,0,0.1,Active,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,"This project aims to identify the job design, support services and intervention strategies that will optimise workforce participation and health outcomes (physical and mental) of mature age workers.",NaN,.,".",0,1617010
127,"Environment and Energy","Bureau of Meteorology Research Activities",11.7,12.8,12.6,19.9,22.6,27.831,31.01,32.405,31.508,26.777,24.326,23.149,Active,Targeted,"00. Multiple categories",Aust. Govt. (Other R&D),Annual,"Research relating to weather, climate and water to improve understanding and forecasting",NaN,.,".",26.616,1516117
128,"Environment and Energy","Antarctic Division",94.6,99.6,105.5,104.6,116.851,101.588,103.075,101.78,104.46,94.781,93.863,107.341,Active,Targeted,"01. Exploration and exploitation of the Earth",Aust. Govt. (Other R&D),Annual,"To conduct scientific research in Antarctica and the Southern Ocean that supports Australian Government policy and environmental management priorities.",NaN,.,".",93.91,1516118
129,"Environment and Energy","Great Barrier Reef Marine Park Authority",4.9,4.8,4.8,3.447,2.965,2.577,2.782,1.823,2.157,1,1,3,Active,Targeted,"02. Environment",Aust. Govt. (Other R&D),Annual,"The GBRMPA is the manager of the Great Barrier Reef Marine Park and funds a range of marine monitoring programs undertaken by AIMS, JCU and CSIRO.",NaN,.,".",1,1516119
130,"Environment and Energy","Parks Australia (Commonwealth marine)",0,0,0,0,0,0,0,0.168,0,0,0.428,0.357,Active,Targeted,"02. Environment",Aust. Govt. (Other R&D),Annual,"The work over 2015/16 and 2016/17 involves two main areas: investigating the use of acoustic monitoring techniques to assess both compliance and ecosystem health within Commonwealth marine reserve; and trailing rapid on-water assessment and survey methods for bio-discovery and bio-security, the identification of marine pollution and methods of remediation.",NaN,.,".",0,1516120
131,"Environment and Energy","Supervising Scientist",7.5,11.1,11.2,11,12.4,12.9,13.8,14,14.19,14.076,13.962,12.652,Active,Targeted,"02. Environment",Aust. Govt. (Other R&D),Annual,"Conducts a programme of research, monitoring and supervision of uranium mines in the Alligator Rivers Region",NaN,.,".",15.36,1516121
132,"Environment and Energy","Bilateral Climate Change Partnerships program",0.1,1.1,1.2,6.5,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"01. Exploration and exploitation of the Earth",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516122
133,"Environment and Energy","Carbon Farming Futures - Methodology Development",0,0,0,0,0,0,0.123,0.427,2.361,0.478,0.064,0,. . . . .,Competitive,"02. Environment",Business (Innovation and Other R&D),Annual,"Reducing Australia's greenhouse Gases",NaN,.,".",0.064,1516123
134,"Environment and Energy","Indigenous Carbon Farming Fund",0,0,0,0,0,0,0,0.632,0,0.405,0.411,0.418,Active,Competitive,"02. Environment",Business (Innovation and Other R&D),Annual,"Reducing Australia's greenhouse Gases",NaN,.,".",0.411,1516124
135,"Environment and Energy","National Carbon Accounting System",0,0,2.5,3.2,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"02. Environment",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516125
136,"Environment and Energy","National Carbon Accounting Toolbox",0,0,0,0,4,4.033,3.9,0.276,0,0,0,0,. . . . .,. . . . .,"02. Environment",Business (Innovation and Other R&D),Annual,".",NaN,.,".",0,1516126
137,"Environment and Energy","Environmental Water Knowledge and Research",0,0,0,0,0,0,0,0,0.5,1.9,1.9,1.9,Active,Targeted,"02. Environment",Higher Ed. (Other R&D),Annual,"The Murray-Darling Basin Environmental Water Knowledge and Research (MDB EWKR) Project seeks to improve the science available to support environmental water management in the Murray-Darling Basin. The Australian Government is contributing $10 million to the project over 5 years on research aimed at better understanding:
• the links between ecological responses to environmental flows and changes in condition, for example fish spawning and survival; and
• the impact of threats such as pests, grazing or poor water quality on ecological improvements through environmental flows.",NaN,.,".",1.9,1516127
138,"Environment and Energy","Australian Climate Change Science program (ACCSP)",7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.45,6.116,5.734,5.734,0,. . . . .,. . . . .,"01. Exploration and exploitation of the Earth",Multi-sector (Energy & Env.),Annual,"The ACCSP conducts fundamental climate change science research which is crucial in understanding Australia’s climate, what it will be like in the future, and how best to prepare for expected changes.",NaN,.,".",0,1516128
139,"Environment and Energy","Office of Water Science",0,0,0,0,0,0,30,15.04,19.545,19.624,17.76,4.295,Active,Targeted,"01. Exploration and exploitation of the Earth",Multi-sector (Energy & Env.),Annual,"Science based framework for coal seam gas and large coal mining impacts on water.",NaN,.,".",19.469,1516129
140,"Environment and Energy","Urban Water Centres of Excellence program",0,0,0,4,9,8,8,10,1,0,0,0,. . . . .,. . . . .,"01. Exploration and exploitation of the Earth",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516130
141,"Environment and Energy","Caring for our Country - Natural Heritage Trust",0,0,0,1.021,0.12,3.278,3.1,2.433,2.11,0,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516131
142,"Environment and Energy","Emissions Measurement and Analysis",6.8,6.3,6.1,6.6,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516132
143,"Environment and Energy","Great Barrier Reef Foundation - contribution",0,0,0,0,0,0,0,0,3.125,3.125,3.125,3.125,Active,Targeted,"02. Environment",Multi-sector (Energy & Env.),Annual,"Under this program the Great Barrier Reef Foundation identifies and administers the four year program of research projects that will better define the attributes of a Great Barrier Reef ecosystem that is resilient to climate change; and test the feasibility of minimising the impacts of climate change on the ecosystem, and of increasing the adaptive capacity of the ecosystem to climate change. The overarching goal of the program is the provision of knowledge (from both new and synthesised existing information) to inform management of the Reef in the face of a changing and increasingly variable climate.",NaN,.,".",3.125,1516133
144,"Environment and Energy","Greenhouse Gas Abatement program ",13.318,17.721,7.944,1.502,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516134
145,"Environment and Energy","Low Emissions Technology and Abatement",1.95,6.736,3.067,1.733,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516135
146,"Environment and Energy","Marine and Biodiversity Research",2.1,9.6,8.5,13.924,6.442,2.916,4.738,9.624,2.96,1,0,0,. . . . .,Targeted,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516136
147,"Environment and Energy","National Environmental Research Program",2.885,15.493,22.959,25.395,24.356,20.02,19.02,20.02,20.52,9.42,0,0,. . . . .,Competitive,"02. Environment",Multi-sector (Energy & Env.),Annual,"The National Environmental Research Program has provided funding on environmental research to improve our capacity to understand, manage and conserve Australia's unique biodiversity and ecosystems through the generation of world-class research, and its delivery to Australian environmental decision-makers and other stakeholders.",NaN,.,".",0,1516137
148,"Environment and Energy","National Environmental Science Programme",0,0,0,0,0,0,0,0,0,8.599,21.52,25.52,Active,Competitive,"02. Environment",Multi-sector (Energy & Env.),Annual,"The National Environmental Science Programme is a long-term commitment to environment and climate research. The programme builds on its predecessors (National Environmental Research Program and the Australian Climate Change Science Programme) to support decision-makers to understand, manage and conserve Australia’s environment with the best available information, based on world-class science.",NaN,.,".",21.52,1516138
149,"Environment and Energy","National Landcare Programme - Natural Heritage Trust",0,0,0,0,0,0,0,0,0,0.45,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1617011
150,"Environment and Energy","Natural Resource Management Planning for Climate Change",0,0,0,0,0,0,0,5.575,5.561,1.25,1.225,0,Active,Competitive,"02. Environment",Multi-sector (Energy & Env.),Annual,"The Regional Natural Resource Management (NRM) Planning for Climate Change Fund supports regional NRM organisations to incorporate climate change mitigation and adaptation components into existing regional NRM plans. The NRM has two streams. Under Stream 2 funds are being directed to producing regional-level information in the form of scenarios about the impacts of climate change in a regionally appropriate format, allowing it to be used for medium term regional NRM and land use planning.",NaN,.,".",1.225,1516139
151,"Environment and Energy","Advanced Electricity Storage Technologies",0.2,0.8,2.518,8.661,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516242
152,"Environment and Energy","Australian Renewable Energy Agency (ARENA)",0,0,0,0,65.299,44.37,74.541,64.862,265.15,267.271,168.613,190.258,Active,Targeted,"05. Energy",Multi-sector (Energy & Env.),Annual,"Increase the supply of renewable energy in Australia.",NaN,.,".",196.851,1516140
153,"Environment and Energy","Energy Innovation Fund",0,0,0,5.843,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516244
154,"Environment and Energy","Energy Use Data Project",0,0,0,0,0,0,0,0,0,6,0,0,. . . . .,Targeted,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516245
155,"Environment and Energy","Renewable Energy Commercialisation program ",1.694,1.519,0,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516141
156,"Environment and Energy","Renewable Energy Equity Fund",1.338,0.819,1.799,0,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516142
157,"Environment and Energy","Renewable Energy Fund",0,0,0,4.9,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516250
158,"Environment and Energy","Wind Forecasting Capability",4.5,4,3.2,1.3,0,0,0,0,0,0,0,0,. . . . .,. . . . .,"05. Energy",Multi-sector (Energy & Env.),Annual,".",NaN,.,".",0,1516251
159,"Environment and Energy","National Climate Change Adaptation Research Facility (NCCARF) - support",0,0,0,0,0,0,0,0,0,2.805,3.266,2.73,Active,Targeted,"11. Political and social systems, structures and processes",Multi-sector (Energy & Env.),Annual,"This current Phase II of NCCARF aims to deliver practical, hands-on tools and information to help governments, businesses and communities take action to manage climate risks, particularly in the coastal zone. Key deliverables include; research synthesis products; operation of four adaptation networks to maintain national adaptation research capacity; and delivery of an online  tool for managing coastal climate risks.",NaN,.,".",3.266,1516143
160,"Environment and Energy","Australian Biological Resources Study",3,1.9,2.03,2.03,2.03,2.028,2.03,1.97,2.03,2.03,2.03,2.03,Active,Competitive,"13. General advancement of knowledge: R&D financed from other sources than GUF",Multi-sector (Energy & Env.),Annual,"Grants for taxonomic research and to build taxonomic capacity in institutions.",NaN,.,".",2.03,1516144
161,"Environment and Energy","Bush Blitz Strategic Taxonomy Grants Scheme",0,0,0,0,0,0.85,1.7,0,0,0.747,0.828,0.797,Active,Competitive,"13. General advancement of knowledge: R&D financed from other sources than GUF",Multi-sector (Energy & Env.),Special,"Funding to support taxonomic research for species discovery and the online dissemination application and publication of taxonomic information.",NaN,.,".",0.498,1516145
162,"Environment and Energy","Conservation and Preservation Program",0,0,0,0,0.319,0.347,0.355,0.399,0.411,0,0,0,. . . . .,. . . . .,"02. Environment",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516146
163,"Environment and Energy","Water Resource Assessment and Research",0,0,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,Active,Targeted,"02. Environment",Multi-sector (Other R&D),Annual,"The objectives of this granting programme are to address priority issues for sustainable use and management of water resources and implementation of the National Water Initiative. A total of $210,000 (inc GST) has been given to Water's Edge Consulting to under take a project in the years 2015-16 and 2016-17. The purpose of this project is to finalise the Integrated Ecosystems Condition Assessment Framework and Manual. The IECA Manual will provide nationally consistent guidance on how to apply the IECA Framework to assess aquatic ecosystem condition and provide useful information for adaptive management.",NaN,.,".",0.175,1516147
164,"Environment and Energy","International Whaling Commission Southern Ocean Research Partnership",0,0,0,0.475,2.71,0.454,1.87,4.125,0.958,1.053,1.5,0,. . . . .,Competitive,"02. Environment",Rest of the World,Annual,"This funding is being provided to the International Whaling Commission's Southern Ocean Research Partnership for competitive grants for non-lethal whale research. The Partnership was established in 2009 and is an Australian-initiated consortium of eleven countries undertaking Commission-prioritised, non-lethal research on whales in the Southern Ocean.",NaN,.,".",0,1617012
